"OrderID","LineNo","ProductID","Quantity","UnitPrice","Discount"
"10447","2","19","40","8.53","0"
"10447","3","71","2","28.54","0"
"10448","1","40","20","18.65","0"
"10448","2","26","6","32.53","0"
"10449","1","52","20","87.98","0"
"10449","2","62","35","29.84","0"
"10449","3","10","14","6.99","0"
"10450","1","10","20","7.64","0.2"
"10450","2","54","6","35.22","0.2"
"10451","1","64","35","35.94","0.1"
"10451","2","77","55","12.51","0.1"
"10451","3","55","120","40.03","0.1"
"10451","4","65","28","10.66","0.1"
"10452","1","28","15","49.09","0"
"10452","2","44","100","80.91","0.05"
"10453","1","48","15","35.9","0.1"
"10453","2","70","25","30.43","0.1"
"10454","1","46","10","11.97","0.2"
"10454","2","33","20","27.87","0.2"
"10454","3","16","20","8.88","0.2"
"10455","1","53","50","62.31","0"
"10455","2","61","25","26.75","0"
"10455","3","71","30","27.85","0"
"10455","4","39","20","64.89","0"
"10456","1","21","40","9.19","0.15"
"10456","2","49","21","20.08","0.15"
"10457","1","59","36","7.85","0"
"10458","1","28","30","48.19","0"
"10458","2","43","20","12.64","0"
"10458","3","26","30","28.21","0"
"10458","4","71","50","30.04","0"
"10458","5","56","15","40.32","0"
"10459","1","46","20","11.98","0.05"
"10459","2","7","16","39.04","0.05"
"10459","3","72","40","12.81","0"
"10460","1","68","21","11.83","0.25"
"10460","2","75","4","7.92","0.25"
"10461","1","21","40","9.86","0.25"
"10461","2","55","60","35.24","0.25"
"10461","3","30","28","27.29","0.25"
"10462","1","23","21","8.5","0"
"10462","2","13","1","27.09","0"
"10463","1","42","50","14.86","0"
"10463","2","19","21","9.67","0"
"10464","1","60","20","5.18","0"
"10464","2","56","30","39.37","0.2"
"10464","3","43","3","11.18","0"
"10464","4","4","16","22.39","0.2"
"10465","1","29","18","133.68","0.1"
"10465","2","40","20","19.35","0"
"10465","3","50","25","15.13","0"
"10465","4","24","25","4.41","0"
"10465","5","45","30","10.29","0.1"
"10466","1","46","5","11.85","0"
"10466","2","11","10","25.73","0"
"10467","1","25","12","13.46","0"
"10467","2","24","28","4.6","0"
"10468","1","43","15","11.59","0"
"10468","2","30","8","23.55","0"
"10469","1","44","2","68.18","0.15"
"10469","2","16","35","9.56","0.15"
"10248","1","42","10","14.04","0"
"10248","2","72","5","12.71","0"
"10248","3","11","12","28.62","0"
"10249","1","14","9","22.8","0"
"10249","2","51","40","101.2","0"
"10250","1","51","35","97.67","0.15"
"10250","2","41","10","9.59","0"
"10250","3","65","15","9.47","0.15"
"10251","1","65","20","9.26","0"
"10251","2","22","6","3.39","0.05"
"10251","3","57","15","21.12","0.05"
"10252","1","60","40","4.55","0"
"10252","2","33","25","23.64","0.05"
"10252","3","20","40","75.93","0.05"
"10253","1","31","20","8.28","0"
"10253","2","39","42","57.95","0"
"10253","3","49","40","19.91","0"
"10254","1","74","21","29.4","0"
"10254","2","24","15","4.52","0.15"
"10254","3","55","21","40.76","0.15"
"10255","1","59","30","7.83","0"
"10255","2","2","20","17.12","0"
"10255","3","16","35","9.17","0"
"10255","4","36","25","7.77","0"
"10256","1","53","15","60.53","0"
"10256","2","77","12","13.5","0"
"10257","1","77","15","12.84","0"
"10257","2","27","25","43.09","0"
"10257","3","39","6","54.84","0"
"10258","1","32","6","19.35","0.2"
"10258","2","2","50","20.02","0.2"
"10258","3","5","65","6.13","0.2"
"10259","1","21","10","10.14","0"
"10259","2","37","1","4.37","0"
"10260","1","70","21","29.37","0.25"
"10260","2","62","15","28.82","0.25"
"10260","3","41","16","10.02","0.25"
"10260","4","57","50","18.58","0"
"10261","1","35","20","6.56","0"
"10261","2","21","20","10.01","0"
"10262","1","7","15","38.3","0"
"10262","2","56","2","34.55","0"
"10262","3","5","12","5.58","0.2"
"10263","1","30","60","26.57","0.25"
"10263","2","16","60","9.46","0.25"
"10263","3","24","28","4.09","0"
"10263","4","74","36","27.87","0.25"
"10264","1","2","35","20.55","0"
"10264","2","41","25","9.55","0.15"
"10265","1","70","20","27.81","0"
"10265","2","17","30","23.9","0"
"10266","1","12","12","10.16","0.05"
"10267","1","59","70","8.66","0.15"
"10267","2","76","15","368.51","0.15"
"10267","3","40","50","18.71","0"
"10268","1","29","10","117.3","0"
"10268","2","72","4","12.64","0"
"10269","1","72","20","12.17","0.05"
"10269","2","33","60","27.4","0.05"
"10270","1","36","30","7.78","0"
"10270","2","43","25","13.06","0"
"10271","1","33","24","24.06","0"
"10272","1","31","40","7.81","0"
"10272","2","20","6","88.25","0"
"10272","3","72","24","11.76","0"
"10273","1","76","33","412.16","0.05"
"10273","2","40","60","19.35","0.05"
"10273","3","33","20","25.45","0"
"10273","4","31","15","8.95","0.05"
"10273","5","10","24","6.88","0.05"
"10274","1","72","7","11.99","0"
"10274","2","71","20","31.17","0"
"10275","1","24","12","4.12","0.05"
"10275","2","59","6","8.92","0.05"
"10276","1","13","10","27.45","0"
"10276","2","10","15","6.92","0"
"10277","1","62","12","30.08","0"
"10277","2","28","20","44.48","0"
"10278","1","63","8","21.02","0"
"10278","2","44","16","80.78","0"
"10278","3","59","15","8.57","0"
"10278","4","73","25","1.07","0"
"10279","1","17","15","27.02","0.25"
"10280","1","75","30","7.21","0"
"10280","2","55","20","42.47","0"
"10280","3","24","12","4.25","0"
"10281","1","24","6","4.18","0"
"10281","2","35","4","6.37","0"
"10281","3","19","1","9.9","0"
"10282","1","30","6","26.38","0"
"10282","2","57","2","21.02","0"
"10283","1","15","20","6.53","0"
"10283","2","60","35","5.18","0"
"10283","3","72","3","11.66","0"
"10283","4","19","18","9.18","0"
"10284","1","60","20","4.73","0.25"
"10284","2","27","15","43.03","0.25"
"10284","3","44","21","68.37","0"
"10284","4","67","5","64.07","0.25"
"10285","1","40","40","17.22","0.2"
"10285","2","53","36","60.96","0.2"
"10285","3","1","45","19.72","0.2"
"10286","1","62","40","30.28","0"
"10286","2","35","100","6.06","0"
"10287","1","34","20","7.67","0"
"10287","2","16","40","8.88","0.15"
"10287","3","46","15","12.23","0.15"
"10288","1","68","3","11.76","0.1"
"10288","2","54","10","33.62","0.1"
"10289","1","3","30","20.54","0"
"10289","2","64","9","35.6","0"
"10290","1","77","10","13.49","0"
"10290","2","29","15","126.03","0"
"10290","3","49","15","19.66","0"
"10290","4","5","20","6.57","0"
"10291","1","51","2","106.56","0.1"
"10291","2","44","24","82.68","0.1"
"10291","3","13","20","23.03","0.1"
"10292","1","20","20","84.07","0"
"10293","1","75","6","7.6","0"
"10293","2","18","12","27.38","0"
"10293","3","24","10","4.11","0"
"10293","4","63","5","21.06","0"
"10294","1","43","15","12.9","0"
"10294","2","17","15","24.62","0"
"10294","3","75","6","8.22","0"
"10294","4","1","18","21.66","0"
"10294","5","60","21","4.56","0"
"10295","1","56","4","34.84","0"
"10296","1","69","15","1.89","0"
"10296","2","16","30","9.36","0"
"10296","3","11","12","26.62","0"
"10297","1","72","20","11.95","0"
"10297","2","39","60","59.35","0"
"10298","1","62","15","28","0"
"10298","2","59","30","9.15","0.25"
"10298","3","2","40","17.54","0"
"10298","4","36","40","7.34","0.25"
"10299","1","70","20","29.08","0"
"10299","2","19","15","9.17","0"
"10300","1","68","20","11.27","0"
"10300","2","66","30","19.89","0"
"10301","1","40","10","18.33","0"
"10301","2","56","20","39.17","0"
"10302","1","28","28","42.81","0"
"10302","2","43","12","10.82","0"
"10302","3","17","40","25.65","0"
"10303","1","40","40","17.62","0.1"
"10303","2","68","15","12.77","0.1"
"10303","3","65","30","10.78","0.1"
"10304","1","59","10","7.91","0"
"10304","2","71","2","29.76","0"
"10304","3","49","30","19.79","0"
"10305","1","29","25","113.94","0.1"
"10305","2","18","25","27.56","0.1"
"10305","3","39","30","57.25","0.1"
"10306","1","54","5","37.88","0"
"10306","2","30","10","28.02","0"
"10306","3","53","10","61.11","0"
"10307","1","68","3","12.82","0"
"10307","2","62","10","27.27","0"
"10308","1","70","5","29.55","0"
"10308","2","69","1","2.12","0"
"10309","1","6","30","3.69","0"
"10309","2","71","3","29.76","0"
"10309","3","42","2","13.62","0"
"10309","4","43","20","11.87","0"
"10309","5","4","20","21.64","0"
"10310","1","62","5","32.19","0"
"10310","2","16","10","8.53","0"
"10311","1","69","7","1.98","0"
"10311","2","42","6","14.93","0"
"10312","1","53","20","63.23","0"
"10312","2","43","24","13.11","0"
"10312","3","28","4","49.17","0"
"10312","4","75","10","7.63","0"
"10313","1","36","12","8.47","0"
"10314","1","62","25","31.43","0.1"
"10314","2","32","40","19.88","0.1"
"10314","3","58","30","43.97","0.1"
"10315","1","70","30","29.13","0"
"10315","2","34","14","8.38","0"
"10316","1","41","10","8.96","0"
"10316","2","62","70","29.33","0"
"10317","1","1","20","18.12","0"
"10318","1","76","6","369.16","0"
"10318","2","41","20","9.56","0"
"10319","1","28","14","48.77","0"
"10319","2","17","8","26.23","0"
"10319","3","76","30","403.97","0"
"10320","1","71","30","31.42","0"
"10321","1","35","10","5.43","0"
"10322","1","52","20","78.02","0"
"10323","1","25","4","14.34","0"
"10323","2","39","4","61.21","0"
"10323","3","15","5","6.12","0"
"10324","1","63","80","20.59","0.15"
"10324","2","59","40","8.31","0.15"
"10324","3","35","70","5.62","0.15"
"10324","4","46","30","12.15","0"
"10324","5","16","21","8.77","0.15"
"10325","1","13","12","23.09","0"
"10325","2","31","4","7.8","0"
"10325","3","6","6","3.71","0"
"10325","4","72","40","10.96","0"
"10325","5","14","9","21.14","0"
"10326","1","4","24","19.84","0"
"10326","2","75","50","8.12","0"
"10326","3","57","16","17.94","0"
"10327","1","30","35","24.02","0.2"
"10327","2","58","30","43.97","0.2"
"10327","3","11","50","29.1","0.2"
"10327","4","2","25","19.22","0.2"
"10328","1","59","9","8.39","0"
"10328","2","68","10","12.13","0"
"10328","3","65","40","10.36","0"
"10329","1","30","8","24.61","0.05"
"10329","2","38","20","77.36","0.05"
"10329","3","56","12","40.13","0.05"
"10329","4","19","10","8.5","0.05"
"10330","1","26","50","32.74","0.15"
"10330","2","72","25","10.84","0.15"
"10331","1","54","15","37.97","0"
"10332","1","47","16","24.57","0.2"
"10332","2","42","10","15.13","0.2"
"10332","3","18","40","24.82","0.2"
"10333","1","21","10","10.5","0.1"
"10333","2","71","40","31.01","0.1"
"10333","3","14","10","24.87","0"
"10334","1","68","10","12.74","0"
"10334","2","52","8","72.76","0"
"10335","1","2","7","19.51","0.2"
"10335","2","32","6","18.64","0.2"
"10335","3","51","48","104.29","0.2"
"10335","4","31","25","8.48","0.2"
"10336","1","4","18","23.23","0.1"
"10337","1","72","25","12.03","0"
"10337","2","36","20","7.99","0"
"10337","3","37","28","3.9","0"
"10337","4","26","24","33.55","0"
"10337","5","23","40","9","0"
"10338","1","17","20","26.24","0"
"10338","2","30","15","25.4","0"
"10339","1","4","10","21.32","0"
"10339","2","17","70","24.46","0.05"
"10339","3","62","28","30.61","0"
"10340","1","43","40","11.93","0.05"
"10340","2","41","12","9.13","0.05"
"10340","3","18","20","24.3","0.05"
"10341","1","59","9","8.27","0.15"
"10341","2","33","8","26.45","0"
"10342","1","55","40","37.52","0.2"
"10342","2","2","24","19.66","0.2"
"10342","3","31","56","8.72","0.2"
"10342","4","36","40","7.56","0.2"
"10343","1","76","15","390.82","0"
"10343","2","64","50","33.95","0"
"10343","3","68","4","11.55","0.05"
"10344","1","8","70","19.4","0.25"
"10344","2","4","35","20.78","0"
"10345","1","8","70","20.46","0"
"10345","2","19","80","10.08","0"
"10345","3","42","9","15.19","0"
"10346","1","56","20","40.51","0"
"10346","2","17","36","24.71","0.1"
"10347","1","25","10","13.21","0"
"10347","2","40","4","17","0"
"10347","3","75","6","7.75","0.15"
"10347","4","39","50","58.72","0.15"
"10348","1","1","15","19.41","0.15"
"10348","2","23","25","9.23","0"
"10349","1","54","24","34.18","0"
"10350","1","50","15","16.49","0.1"
"10350","2","69","18","1.83","0.1"
"10351","1","65","10","10.08","0.05"
"10351","2","38","20","75.04","0.05"
"10351","3","41","13","10.42","0"
"10351","4","44","77","73.74","0.05"
"10352","1","54","20","37.9","0.15"
"10352","2","24","10","4.73","0"
"10353","1","38","50","75.4","0.2"
"10353","2","11","12","29.75","0.2"
"10354","1","29","4","130.34","0"
"10354","2","1","12","21.65","0"
"10355","1","57","25","17.7","0"
"10355","2","24","25","4.66","0"
"10356","1","55","12","40.65","0"
"10356","2","31","30","9.22","0"
"10356","3","69","20","2.05","0"
"10357","1","10","30","6.51","0.2"
"10357","2","60","8","4.86","0.2"
"10357","3","26","16","29.44","0"
"10358","1","34","10","8.26","0.05"
"10358","2","36","20","7.61","0.05"
"10358","3","24","10","4.24","0.05"
"10359","1","31","70","8.7","0.05"
"10359","2","60","80","5.46","0.05"
"10359","3","16","56","10.24","0.05"
"10360","1","54","28","36.73","0"
"10360","2","38","10","80.74","0"
"10360","3","28","30","42.07","0"
"10360","4","29","35","135.76","0"
"10360","5","49","35","18.29","0"
"10361","1","39","54","60.54","0.1"
"10361","2","60","55","4.67","0.1"
"10362","1","25","50","15.04","0"
"10362","2","51","20","109.79","0"
"10362","3","54","24","37.07","0"
"10363","1","76","12","432.53","0"
"10363","2","31","20","9.3","0"
"10363","3","75","12","8.06","0"
"10364","1","69","30","2.05","0"
"10364","2","71","5","29.73","0"
"10365","1","11","24","29.48","0"
"10366","1","65","5","9.12","0"
"10366","2","77","5","12.71","0"
"10367","1","65","15","9.41","0"
"10367","2","77","7","14.23","0"
"10367","3","54","18","37.37","0"
"10367","4","34","36","7.56","0"
"10368","1","28","13","47.47","0.1"
"10368","2","21","5","10.53","0.1"
"10368","3","64","35","32.34","0.1"
"10368","4","57","25","18.05","0"
"10369","1","29","20","117.78","0"
"10369","2","56","18","39.42","0.25"
"10370","1","64","30","34.02","0"
"10370","2","1","15","21.56","0.15"
"10370","3","74","20","32.64","0.15"
"10371","1","36","6","7.77","0.2"
"10372","1","60","70","5.3","0.25"
"10372","2","38","40","77.94","0.25"
"10372","3","20","12","81.24","0.25"
"10372","4","72","42","10.75","0.25"
"10373","1","71","50","31.79","0.2"
"10373","2","58","80","53.07","0.2"
"10374","1","58","15","51.57","0"
"10374","2","31","30","9.11","0"
"10375","1","14","15","21.59","0"
"10375","2","54","10","32.95","0"
"10376","1","31","42","7.74","0.05"
"10377","1","39","20","59.78","0.15"
"10377","2","28","20","41.18","0.15"
"10378","1","71","6","28.19","0"
"10379","1","65","20","10","0.1"
"10379","2","41","8","9.33","0.1"
"10379","3","63","16","20.35","0.1"
"10380","1","30","18","25.51","0.1"
"10380","2","60","6","4.8","0.1"
"10380","3","53","20","60.96","0.1"
"10380","4","70","30","27.15","0"
"10381","1","74","14","30.59","0"
"10382","1","29","14","129.38","0"
"10382","2","74","50","27.21","0"
"10382","3","5","32","5.62","0"
"10382","4","33","60","27.49","0"
"10382","5","18","9","26.78","0"
"10383","1","56","20","41.32","0"
"10383","2","50","15","15.43","0"
"10383","3","13","20","26.18","0"
"10384","1","20","28","86.51","0"
"10384","2","60","15","5.32","0"
"10385","1","68","8","13.65","0.2"
"10385","2","60","20","4.99","0.2"
"10385","3","7","10","36.13","0.2"
"10386","1","34","10","8.48","0"
"10386","2","24","15","4.11","0"
"10387","1","28","6","47.51","0"
"10387","2","59","12","8.87","0"
"10387","3","71","15","28.99","0"
"10387","4","24","15","4.85","0"
"10388","1","52","20","82.65","0.2"
"10388","2","53","40","62.79","0"
"10388","3","45","15","8.7","0.2"
"10389","1","70","30","27.96","0"
"10389","2","55","15","37.49","0"
"10389","3","10","16","6.33","0"
"10389","4","62","20","31.68","0"
"10390","1","31","60","9.03","0.1"
"10390","2","46","45","10.83","0"
"10390","3","35","40","6.56","0.1"
"10390","4","72","24","10.94","0.1"
"10391","1","13","18","23.12","0"
"10392","1","69","50","2.09","0"
"10393","1","31","32","8.05","0"
"10393","2","2","25","19.17","0.25"
"10393","3","25","7","14.42","0.25"
"10393","4","26","70","31.42","0.25"
"10393","5","14","42","21.83","0.25"
"10394","1","13","10","27.04","0"
"10394","2","62","10","26.67","0"
"10395","1","53","70","66.36","0.1"
"10395","2","46","28","11.62","0.1"
"10395","3","69","8","1.87","0"
"10396","1","23","40","8.6","0"
"10396","2","72","21","10.96","0"
"10396","3","71","60","29.67","0"
"10397","1","51","18","100.92","0.15"
"10397","2","21","10","10.71","0.15"
"10398","1","55","120","37.39","0.1"
"10398","2","35","30","5.45","0"
"10399","1","71","30","27.66","0"
"10399","2","76","35","381.91","0"
"10399","3","77","14","12.01","0"
"10399","4","68","60","13.24","0"
"10400","1","29","21","121.65","0"
"10400","2","49","30","21.55","0"
"10400","3","35","35","5.8","0"
"10401","1","30","18","26.07","0"
"10401","2","56","70","40.06","0"
"10401","3","71","60","30.39","0"
"10401","4","65","20","9.06","0"
"10402","1","23","60","9.07","0"
"10469","3","2","40","17.56","0.15"
"10470","1","18","30","25.19","0"
"10470","2","23","15","8.91","0"
"10470","3","64","8","36.39","0"
"10471","1","56","20","39.82","0"
"10471","2","7","30","39.74","0"
"10472","1","51","18","90.69","0"
"10472","2","24","80","4.19","0.05"
"10473","1","71","12","32.62","0"
"10473","2","33","12","26.59","0"
"10474","1","28","18","43.87","0"
"10474","2","14","12","24.65","0"
"10474","3","40","21","17.82","0"
"10474","4","75","10","7.63","0"
"10475","1","66","60","17.24","0.15"
"10475","2","31","35","9.31","0.15"
"10475","3","76","42","414.95","0.15"
"10476","1","55","2","37.64","0.05"
"10476","2","70","12","26.14","0"
"10477","1","21","21","9.02","0.25"
"10477","2","39","20","57.1","0.25"
"10477","3","1","15","21.11","0"
"10478","1","10","20","6.6","0.05"
"10479","1","64","30","34.83","0"
"10479","2","59","60","8.22","0"
"10479","3","53","28","65.47","0"
"10479","4","38","30","83.07","0"
"10480","1","47","30","26.01","0"
"10480","2","59","12","8.14","0"
"10481","1","49","24","18.95","0"
"10481","2","60","40","5.12","0"
"10482","1","40","10","17.59","0"
"10483","1","77","30","14.07","0.05"
"10483","2","34","35","8","0.05"
"10484","1","21","14","9.58","0"
"10484","2","40","10","18.4","0"
"10484","3","51","3","90.96","0"
"10485","1","3","20","21.68","0.1"
"10485","2","2","20","17.44","0.1"
"10485","3","55","30","35.21","0.1"
"10485","4","70","60","26.8","0.1"
"10486","1","11","5","28.38","0"
"10486","2","74","16","27.49","0"
"10486","3","51","25","96.85","0"
"10487","1","26","30","33.4","0"
"10487","2","19","5","9.69","0"
"10487","3","54","24","33.61","0.25"
"10488","1","59","30","8.8","0"
"10488","2","73","20","1.21","0.2"
"10489","1","16","18","8.88","0"
"10489","2","11","15","28.24","0.25"
"10490","1","59","60","8.64","0"
"10490","2","68","30","13.29","0"
"10490","3","75","36","7.5","0"
"10491","1","77","7","14.2","0.15"
"10491","2","44","15","82.34","0.15"
"10492","1","25","60","13.78","0.05"
"10492","2","42","20","13.82","0.05"
"10493","1","69","10","1.87","0.1"
"10493","2","65","15","9.49","0.1"
"10493","3","66","10","19.93","0.1"
"10494","1","56","30","35.37","0"
"10495","1","23","10","8.33","0"
"10495","2","41","20","10.22","0"
"10495","3","77","5","13.12","0"
"10496","1","31","20","8.17","0.05"
"10497","1","77","25","12.12","0"
"10497","2","56","14","41.39","0"
"10497","3","72","25","11.12","0"
"10498","1","40","5","18","0"
"10498","2","42","30","15.1","0"
"10498","3","24","14","4.9","0"
"10499","1","28","20","43.64","0"
"10499","2","49","25","19.06","0"
"10500","1","15","12","6.43","0.05"
"10500","2","28","8","46.92","0.05"
"10501","1","54","20","37.79","0"
"10502","1","45","21","10","0"
"10502","2","67","30","63.32","0"
"10502","3","53","6","66.83","0"
"10503","1","14","70","24.91","0"
"10503","2","65","20","9.87","0"
"10504","1","53","10","62.32","0"
"10504","2","21","12","10.75","0"
"10504","3","61","25","26.02","0"
"10504","4","2","12","20.5","0"
"10505","1","62","3","31.36","0"
"10506","1","70","14","30.75","0.1"
"10506","2","25","18","14.77","0.1"
"10507","1","43","15","11.41","0.15"
"10507","2","48","15","31.95","0.15"
"10508","1","13","10","24.09","0"
"10508","2","39","10","64.02","0"
"10509","1","28","3","49.92","0"
"10510","1","75","36","7.89","0.1"
"10510","2","29","36","132.34","0"
"10511","1","7","50","42.48","0.15"
"10511","2","4","15","23.86","0.15"
"10511","3","8","10","21.97","0.15"
"10512","1","24","10","4.6","0.15"
"10512","2","47","6","26.65","0.15"
"10512","3","60","12","5.25","0.15"
"10512","4","46","9","12.55","0.15"
"10513","1","32","50","17.99","0.2"
"10513","2","21","40","9.91","0.2"
"10513","3","61","15","25.57","0.2"
"10514","1","65","39","11","0"
"10514","2","56","70","38.21","0"
"10514","3","75","50","7.37","0"
"10514","4","20","39","88.03","0"
"10514","5","28","35","46.23","0"
"10515","1","33","16","28.01","0.15"
"10515","2","16","50","8.68","0"
"10515","3","27","120","41.7","0"
"10515","4","9","16","42.05","0.15"
"10515","5","60","84","5.35","0.15"
"10516","1","42","20","14.57","0"
"10516","2","41","80","10.5","0.1"
"10516","3","18","25","27.25","0.1"
"10517","1","70","6","31.09","0"
"10517","2","59","4","8.3","0"
"10517","3","52","6","85.49","0"
"10518","1","38","15","76.69","0"
"10518","2","24","5","4.33","0"
"10518","3","44","9","76.81","0"
"10519","1","56","40","40.73","0"
"10519","2","60","10","5.11","0.05"
"10519","3","10","16","7.55","0.05"
"10520","1","53","5","56.9","0"
"10520","2","24","8","4.68","0"
"10521","1","35","3","6.24","0"
"10521","2","68","6","12.78","0"
"10521","3","41","10","9.63","0"
"10522","1","8","24","20.93","0"
"10522","2","1","40","21.63","0.2"
"10522","3","30","20","25.88","0.2"
"10522","4","40","25","18.25","0.2"
"10523","1","41","6","10.4","0.1"
"10523","2","20","15","83.94","0.1"
"10523","3","37","18","4.03","0.1"
"10523","4","17","25","24.45","0.1"
"10524","1","10","2","7.49","0"
"10524","2","43","60","13","0"
"10524","3","30","10","27.25","0"
"10524","4","54","15","34.23","0"
"10525","1","40","15","18.46","0.1"
"10525","2","36","30","7.31","0"
"10526","1","56","30","41.69","0.15"
"10526","2","1","8","19.53","0.15"
"10526","3","13","10","26.24","0"
"10527","1","36","30","8.4","0.1"
"10527","2","4","15","23.53","0.1"
"10528","1","72","9","10.66","0"
"10528","2","11","3","29.37","0"
"10528","3","33","8","27.23","0.2"
"10529","1","55","14","36.97","0"
"10529","2","69","10","2.06","0"
"10529","3","68","20","13.73","0"
"10530","1","17","40","24.2","0"
"10530","2","61","20","27.71","0"
"10530","3","76","50","391.15","0"
"10530","4","43","25","10.91","0"
"10531","1","59","2","7.9","0"
"10532","1","30","15","24.66","0"
"10532","2","66","24","18.72","0"
"10533","1","72","24","11.03","0"
"10533","2","73","24","1.02","0.05"
"10533","3","4","15","20.21","0.05"
"10534","1","54","10","36.95","0.2"
"10534","2","30","10","26.31","0"
"10534","3","40","10","18.48","0.2"
"10535","1","59","15","7.66","0.1"
"10535","2","11","50","28.3","0.1"
"10535","3","57","5","20.38","0.1"
"10535","4","40","10","19.4","0.1"
"10536","1","31","20","8.91","0"
"10536","2","12","15","9.7","0.25"
"10536","3","33","30","23.08","0"
"10536","4","60","35","4.87","0.25"
"10537","1","51","6","92.14","0"
"10537","2","72","21","11.12","0"
"10537","3","58","20","52.17","0"
"10537","4","73","9","1.04","0"
"10537","5","31","30","8","0"
"10538","1","72","1","11.58","0"
"10538","2","70","7","30.36","0"
"10539","1","21","15","10.91","0"
"10539","2","49","6","20.9","0"
"10539","3","13","8","24.89","0"
"10539","4","33","15","27.64","0"
"10540","1","68","35","13.04","0"
"10540","2","26","40","34.21","0"
"10540","3","38","30","84.24","0"
"10540","4","3","60","19.1","0"
"10541","1","38","4","77.46","0.1"
